state,action,action_name,policy_prob,empirical_prob,abs_diff
85,3,Right,0.4248135671199636,0.421,0.0038135671199636123
86,0,Up,0.41620906765224736,0.4202,0.003990932347752663
86,1,Down,0.1729307584379857,0.1777,0.004769241562014304
86,2,Left,0.28792616279387695,0.2826,0.005326162793876932
86,3,Right,0.12293401111589007,0.1195,0.003434011115890076
87,0,Up,0.039324742130889614,0.0379,0.0014247421308896113
87,1,Down,0.18595780220530328,0.1814,0.004557802205303274
87,2,Left,0.10052489154779162,0.0951,0.005424891547791619
87,3,Right,0.6741925641160156,0.6856,0.011407435883984407
88,0,Up,0.05854795247091346,0.0565,0.0020479524709134597
88,1,Down,0.3258832445698729,0.33,0.004116755430127128
88,2,Left,0.5813305659401811,0.5812,0.00013056594018101553
88,3,Right,0.034238237019032704,0.0323,0.0019382370190327014
89,0,Up,0.2079214571465604,0.2113,0.003378542853439581
89,1,Down,0.5712800619547435,0.5733,0.002019938045256575
89,2,Left,0.11300891892643128,0.1101,0.0029089189264312754
89,3,Right,0.10778956197226487,0.1053,0.002489561972264867
90,0,Up,0.15973608223603722,0.1579,0.0018360822360372064
90,1,Down,0.04954024325008216,0.0464,0.003140243250082164
90,2,Left,0.04331957792594979,0.0429,0.00041957792594978643
90,3,Right,0.7474040965879309,0.7528,0.005395903412069081
91,0,Up,0.0,0.0,0.0
91,1,Down,0.26095641755582055,0.2622,0.0012435824441794363
91,2,Left,0.14335940398089136,0.1452,0.0018405960191086312
91,3,Right,0.5956841784632881,0.5926,0.003084178463288123
92,0,Up,0.6210151082763028,0.6242,0.0031848917236971808
92,1,Down,0.309556999361247,0.3036,0.005956999361246995
92,2,Left,0.06942789236245027,0.0722,0.002772107637549731
92,3,Right,0.0,0.0,0.0
93,0,Up,1.0,1.0,0.0
93,1,Down,0.0,0.0,0.0
93,2,Left,0.0,0.0,0.0
93,3,Right,0.0,0.0,0.0
94,0,Up,0.18786449280887932,0.1918,0.00393550719112068
94,1,Down,0.605865260576137,0.6022,0.0036652605761370305
94,2,Left,0.0,0.0,0.0
94,3,Right,0.20627024661498364,0.206,0.0002702466149836491
95,0,Up,0.5788858653079747,0.5815,0.002614134692025316
95,1,Down,0.0028093977697095625,0.0028,9.397769709562544e-06
95,2,Left,0.12101088246714506,0.1161,0.004910882467145064
95,3,Right,0.2972938544551707,0.2996,0.0023061455448292745
96,0,Up,0.4136934708196162,0.4167,0.003006529180383799
96,1,Down,0.5126819567903517,0.5058,0.00688195679035164
96,2,Left,0.06077970429146612,0.0645,0.003720295708533883
96,3,Right,0.012844868098566165,0.013,0.0001551319014338349
97,0,Up,0.18507937390930623,0.1891,0.004020626090693757
97,1,Down,0.43856551272148403,0.4302,0.008365512721484003
97,2,Left,0.1435519704448664,0.1439,0.00034802955513360545
97,3,Right,0.2328031429243434,0.2368,0.003996857075656612
98,0,Up,0.43873551594145993,0.4411,0.0023644840585400617
98,1,Down,0.005433385973760623,0.0061,0.0006666140262393773
98,2,Left,0.5492934677829365,0.5468,0.002493467782936576
98,3,Right,0.006537630301842993,0.006,0.0005376303018429932
99,0,Up,0.4985258225393226,0.4908,0.00772582253932258
99,1,Down,0.030744495945203426,0.0301,0.0006444959452034278
99,2,Left,0.1666267589267588,0.1697,0.0030732410732411952
99,3,Right,0.30410292258871524,0.3094,0.005297077411284767
